time,ax,ay,az,aMagnitude,Activity
122,-0.042331725,0.008030653,-0.027155876,0.050930423,NO_ACTIVITY
123,-0.019524068,0.011367321,-0.036463737,0.04289533,NO_ACTIVITY
124,0.002547026,-0.011749983,0.007206917,0.014017456,NO_ACTIVITY
125,-0.059714764,-0.023277521,-0.005303383,0.064310356,NO_ACTIVITY
126,-1.01e-05,0.017338276,0.010503769,0.02027178,NO_ACTIVITY
127,-0.05041033,0.010254145,0.017554283,0.054355329,NO_ACTIVITY
128,-0.040953338,0.022253513,-0.000393867,0.04661062,NO_ACTIVITY
129,-0.007720619,0.025942564,-0.015797615,0.031339898,NO_ACTIVITY
130,-0.043669701,0.020206213,-0.019168854,0.051795548,NO_ACTIVITY
131,-0.056719303,0.038405418,-0.010607719,0.069315072,NO_ACTIVITY
132,-0.005566597,0.024220943,-0.014027596,0.028537949,NO_ACTIVITY
133,-0.018032968,0.018548012,0.019429207,0.03235291,NO_ACTIVITY
134,-0.004367501,0.039048672,0.01697731,0.042803071,NO_ACTIVITY
135,-0.028976232,0.039239883,0.034757614,0.059895594,NO_ACTIVITY
136,0.033052266,0.018919468,-0.007060051,0.038732969,NO_ACTIVITY
137,-0.053154349,-0.001837254,-0.040927887,0.067110746,NO_ACTIVITY
138,0.044546157,-0.003580809,-0.001005173,0.044701148,NO_ACTIVITY
139,-0.015474081,-0.005954504,0.035995483,0.03963052,NO_ACTIVITY
140,-0.01147756,-0.018549919,0.027933121,0.035441404,NO_ACTIVITY
141,0.023994803,0.029716969,-0.006340027,0.038717499,NO_ACTIVITY
142,0.060691357,0.011719704,-0.006275177,0.062130267,NO_ACTIVITY
143,0.00667426,0.023591995,0.030621529,0.039227618,NO_ACTIVITY
144,0.038480967,0.016127348,-0.001726151,0.041759499,NO_ACTIVITY
145,-0.006023169,0.036179304,0.043433189,0.056847714,NO_ACTIVITY
146,0.02433148,0.008384943,0.05018425,0.056398468,NO_ACTIVITY
147,0.006989032,0.01292634,0.018876076,0.023921603,NO_ACTIVITY
148,0.025155187,-0.005138636,0.0353508,0.043690594,NO_ACTIVITY
149,0.014736384,0.020787954,-0.006540298,0.026307329,NO_ACTIVITY
150,0.016334653,-0.000959396,-0.021941185,0.027370731,NO_ACTIVITY
151,0.039152145,0.002514124,-0.047875404,0.061897218,NO_ACTIVITY
152,-0.015810817,-0.012118816,0.01232338,0.023424631,NO_ACTIVITY
153,0.053812265,0.021510601,-0.011819839,0.059145367,NO_ACTIVITY
154,-0.042217344,0.017974377,-0.000784874,0.045891158,NO_ACTIVITY
155,-0.007279932,-0.021144629,-0.004296303,0.022771714,NO_ACTIVITY
156,0.009911895,-0.017152786,0.017154694,0.026205863,NO_ACTIVITY
157,0.007019192,-0.004645586,-0.018545151,0.02036598,NO_ACTIVITY
158,0.022076368,-0.005297899,0.02206707,0.031660533,NO_ACTIVITY
159,0.007485569,-0.014212608,0.005331993,0.016925192,NO_ACTIVITY
160,-0.005611867,0.004317999,-0.012448311,0.014321264,NO_ACTIVITY
161,-0.020931304,0.00364089,-0.014652252,0.025808217,NO_ACTIVITY
162,-0.014927328,-0.033930302,0.037789345,0.052935102,NO_ACTIVITY
163,-0.01721105,-0.039113998,0.003085136,0.042844407,NO_ACTIVITY
164,-0.032752156,-0.035891771,0.024516106,0.054423914,NO_ACTIVITY
165,0.004294038,-0.005920172,-0.022377968,0.023542741,NO_ACTIVITY
166,-0.010760993,-0.049495459,-0.01317215,0.052336459,NO_ACTIVITY
167,0.042724222,0.003649235,-0.002156258,0.042933967,NO_ACTIVITY
168,0.04575327,0.028411865,0.019186974,0.057172859,NO_ACTIVITY
169,0.065446258,0.019770861,0.003592491,0.068461709,NO_ACTIVITY
170,0.061377347,0.004581213,-0.023880959,0.066018682,NO_ACTIVITY
171,0.059720129,0.020500183,0.013036728,0.064472533,NO_ACTIVITY
172,0.065542936,-0.008633137,0.015236855,0.067842238,NO_ACTIVITY
173,0.085697114,0.012335777,0.003152847,0.086637794,NO_ACTIVITY
174,0.071564317,0.004809141,-0.01117897,0.072591657,NO_ACTIVITY
175,0.025584698,0.024769306,-0.005178452,0.035984881,NO_ACTIVITY
176,0.049068898,0.020966291,-0.025331497,0.059067985,NO_ACTIVITY
177,0.019156426,-0.002941608,-0.000181198,0.01938181,NO_ACTIVITY
178,0.010162383,0.024587154,-0.003731728,0.026864996,NO_ACTIVITY
179,0.030098259,0.02585721,-0.023874283,0.046308551,NO_ACTIVITY
180,0.024073511,0.013292313,-0.013075829,0.030449907,NO_ACTIVITY
181,0.028562486,5.96e-05,-0.016472816,0.032972304,NO_ACTIVITY
182,-0.039050877,-0.015605211,0.031258583,0.052398403,NO_ACTIVITY
183,-0.030198753,-0.011232615,0.001396179,0.032250358,NO_ACTIVITY
184,-0.021309227,-0.005575895,0.052576065,0.057003652,NO_ACTIVITY
