ax,ay,az,gx,gy,gz,aMagnitude,gMagnitude,Activity
0.039292365,-0.01337409,-0.008974075,-0.450120986,-0.076291695,-0.305166781,0.042465166,0.549141228,NO_ACTIVITY
0.048419714,-0.005889177,0.003037453,-0.144954219,0.228875071,-0.122066714,0.048871026,0.297146103,NO_ACTIVITY
0.055259079,0.001456738,0.004234314,-0.144954219,0.106808379,0.061033357,0.055440214,0.190117927,NO_ACTIVITY
0.027476698,0.028909206,0.031551361,-0.083920866,0.106808379,0.061033357,0.05085469,0.148915454,NO_ACTIVITY
0.038069725,-0.008052826,0.01705265,0.099179201,0.411975145,-0.061033357,0.042484643,0.428118097,NO_ACTIVITY
0.02501139,0.008633852,0.018081665,0.099179201,0.228875071,0.0,0.032047772,0.249439997,NO_ACTIVITY
0.039255112,0.048911572,0.052359581,0.099179201,0.289908439,0.061033357,0.081699641,0.312423571,NO_ACTIVITY
0.005991876,0.023451567,0.02812767,0.160212561,0.167841733,0.183100075,0.037108549,0.295574947,NO_ACTIVITY
-0.002195984,0.013567924,-0.019668579,0.099179201,0.045775019,0.061033357,0.023995081,0.125127682,NO_ACTIVITY
0.0481067,-0.01154089,-0.021861076,-0.022887509,-0.137325048,-0.244133428,0.054086536,0.281039388,NO_ACTIVITY
-0.008883357,0.009609222,0.000412941,0.465379357,-0.686625242,0.305166781,0.013092811,0.88383196,NO_ACTIVITY
-0.02784723,-0.017212152,-0.054655075,0.465379357,-0.991792023,-0.183100075,0.063709526,1.110745246,NO_ACTIVITY
0.000459671,-0.023438692,-0.020463943,0.221245915,-0.625591934,-0.183100075,0.031118428,0.68836085,NO_ACTIVITY
0.017823935,-0.006988049,0.010697365,0.160212561,-0.74765861,-0.122066714,0.021930779,0.774313725,NO_ACTIVITY
0.007498235,-0.018979549,0.011786461,0.221245915,-0.564558566,0.061033357,0.023566236,0.609426943,NO_ACTIVITY
-0.014507651,0.007143736,0.004549026,0.465379357,-0.930758715,0.061033357,0.016798766,1.042408174,NO_ACTIVITY
-0.023468941,-0.013561487,0.003252983,0.465379357,-1.1138587,-0.122066714,0.027299946,1.213325773,NO_ACTIVITY
0.006664932,-0.010289907,0.009115219,0.404345989,-1.052825451,0.061033357,0.015277131,1.129452159,NO_ACTIVITY
0.027063578,-0.011819124,-0.027837753,0.526412725,-0.869725347,-0.122066714,0.040584104,1.023930085,NO_ACTIVITY
0.011766553,-0.012205839,0.00201416,0.526412725,-0.74765861,0.061033357,0.017073111,0.916421751,NO_ACTIVITY
0.028766513,-0.006644487,-0.037277222,0.526412725,-0.686625242,0.0,0.047552631,0.865196267,NO_ACTIVITY
-0.004027635,0.012039423,-0.052472115,0.343312621,-0.442491829,0.122066714,0.053986039,0.573204028,NO_ACTIVITY
-0.042331725,0.008030653,-0.027155876,0.160212561,-0.076291695,0.122066714,0.050930423,0.215380524,NO_ACTIVITY
-0.019524068,0.011367321,-0.036463737,0.038145848,-0.076291695,0.183100075,0.04289533,0.201992984,NO_ACTIVITY
0.002547026,-0.011749983,0.007206917,0.221245915,-0.259391785,0.0,0.014017456,0.340930862,NO_ACTIVITY
-0.059714764,-0.023277521,-0.005303383,0.160212561,0.167841733,0.122066714,0.064310356,0.262181606,NO_ACTIVITY
-1.01e-05,0.017338276,0.010503769,-0.083920866,0.839208663,0.366200149,0.02027178,0.919465301,NO_ACTIVITY
-0.05041033,0.010254145,0.017554283,-0.328054279,0.839208663,0.061033357,0.054355329,0.903114533,NO_ACTIVITY
-0.040953338,0.022253513,-0.000393867,-0.328054279,0.961275399,0.122066714,0.04661062,1.023020178,NO_ACTIVITY
-0.007720619,0.025942564,-0.015797615,-0.511154354,0.900241971,0.183100075,0.031339898,1.05130396,NO_ACTIVITY
-0.043669701,0.020206213,-0.019168854,-0.63322109,0.900241971,0.122066714,0.051795548,1.10738649,NO_ACTIVITY
-0.056719303,0.038405418,-0.010607719,-0.450120986,0.900241971,0.0,0.069315072,1.006501122,NO_ACTIVITY
-0.005566597,0.024220943,-0.014027596,-0.63322109,0.534041882,0.0,0.028537949,0.828353596,NO_ACTIVITY
-0.018032968,0.018548012,0.019429207,-0.450120986,0.473008543,-0.122066714,0.03235291,0.664263702,NO_ACTIVITY
-0.004367501,0.039048672,0.01697731,-0.511154354,0.350941777,-0.061033357,0.042803071,0.623028069,NO_ACTIVITY
-0.028976232,0.039239883,0.034757614,-0.267020941,0.167841733,-0.122066714,0.059895594,0.33818828,NO_ACTIVITY
0.033052266,0.018919468,-0.007060051,-0.205987573,-0.198358402,-0.122066714,0.038732969,0.310929603,NO_ACTIVITY
-0.053154349,-0.001837254,-0.040927887,-0.267020941,0.534041882,0.122066714,0.067110746,0.609426941,NO_ACTIVITY
0.044546157,-0.003580809,-0.001005173,-0.083920866,-0.320425123,0.061033357,0.044701148,0.336808613,NO_ACTIVITY
-0.015474081,-0.005954504,0.035995483,-0.144954219,0.045775019,-0.122066714,0.03963052,0.194954766,NO_ACTIVITY
-0.01147756,-0.018549919,0.027933121,-0.205987573,0.289908439,0.061033357,0.035441404,0.360836325,NO_ACTIVITY
0.023994803,0.029716969,-0.006340027,-0.083920866,-0.015258339,-0.244133428,0.038717499,0.258605219,NO_ACTIVITY
0.060691357,0.011719704,-0.006275177,0.038145848,-0.076291695,-0.122066714,0.062130267,0.148915449,NO_ACTIVITY
0.00667426,0.023591995,0.030621529,0.099179201,-0.198358402,-0.061033357,0.039227618,0.230016608,NO_ACTIVITY
0.038480967,0.016127348,-0.001726151,-0.022887509,-0.381458491,0.061033357,0.041759499,0.386987712,NO_ACTIVITY
-0.006023169,0.036179304,0.043433189,0.343312621,-0.74765861,-0.183100075,0.056847714,0.842841973,NO_ACTIVITY
0.02433148,0.008384943,0.05018425,0.099179201,-0.625591934,-0.061033357,0.056398468,0.63633863,NO_ACTIVITY
0.006989032,0.01292634,0.018876076,0.099179201,-0.930758715,-0.061033357,0.023921603,0.938015655,NO_ACTIVITY
0.025155187,-0.005138636,0.0353508,0.221245915,-0.808691978,-0.061033357,0.043690594,0.840629253,NO_ACTIVITY
0.014736384,0.020787954,-0.006540298,0.221245915,-0.74765861,-0.061033357,0.026307329,0.782092209,NO_ACTIVITY
0.016334653,-0.000959396,-0.021941185,0.160212561,-0.930758715,-0.305166781,0.027370731,0.992525372,NO_ACTIVITY
0.039152145,0.002514124,-0.047875404,-0.083920866,-0.503525198,-0.061033357,0.061897218,0.514106416,NO_ACTIVITY
-0.015810817,-0.012118816,0.01232338,-0.022887509,0.167841733,0.061033357,0.023424631,0.180054869,NO_ACTIVITY
0.053812265,0.021510601,-0.011819839,-0.083920866,-0.381458491,-0.122066714,0.059145367,0.409210917,NO_ACTIVITY
-0.042217344,0.017974377,-0.000784874,-0.389087647,0.289908439,-0.061033357,0.045891158,0.489041073,NO_ACTIVITY
-0.007279932,-0.021144629,-0.004296303,-0.205987573,0.656108558,0.0,0.022771714,0.687684026,NO_ACTIVITY
0.009911895,-0.017152786,0.017154694,-0.63322109,0.961275399,-0.061033357,0.026205863,1.152711764,NO_ACTIVITY
0.007019192,-0.004645586,-0.018545151,-0.511154354,0.961275399,0.183100075,0.02036598,1.104017574,NO_ACTIVITY
0.022076368,-0.005297899,0.02206707,-0.755287766,1.083342075,0.0,0.031660533,1.320639869,NO_ACTIVITY
0.007485569,-0.014212608,0.005331993,-0.572187722,1.449542284,-0.061033357,0.016925192,1.559582217,NO_ACTIVITY
-0.005611867,0.004317999,-0.012448311,-0.511154354,1.510575533,0.061033357,0.014321264,1.595882917,NO_ACTIVITY
-0.020931304,0.00364089,-0.014652252,-0.450120986,1.144375443,0.061033357,0.025808217,1.231230737,NO_ACTIVITY
-0.014927328,-0.033930302,0.037789345,-0.63322109,1.26644218,0.305166781,0.052935102,1.448437609,NO_ACTIVITY
-0.01721105,-0.039113998,0.003085136,-0.511154354,1.022308707,0.0,0.042844407,1.142975882,NO_ACTIVITY
-0.032752156,-0.035891771,0.024516106,-0.450120986,0.778175294,0.0,0.054423914,0.898980362,NO_ACTIVITY
0.004294038,-0.005920172,-0.022377968,-0.144954219,-0.015258339,-0.183100075,0.023542741,0.234030297,NO_ACTIVITY
-0.010760993,-0.049495459,-0.01317215,0.282279283,-0.564558566,-0.122066714,0.052336459,0.642890543,NO_ACTIVITY
0.042724222,0.003649235,-0.002156258,-0.205987573,-0.442491829,-0.122066714,0.042933967,0.503120445,NO_ACTIVITY
0.04575327,0.028411865,0.019186974,0.343312621,-0.74765861,-0.244133428,0.057172859,0.85817136,NO_ACTIVITY
0.065446258,0.019770861,0.003592491,1.014679551,-1.41902554,-0.061033357,0.068461709,1.745546661,NO_ACTIVITY
0.061377347,0.004581213,-0.023880959,0.70951277,-1.357992172,-0.061033357,0.066018682,1.53338716,NO_ACTIVITY
0.059720129,0.020500183,0.013036728,0.526412725,-0.869725347,-0.061033357,0.064472533,1.018458446,NO_ACTIVITY
0.065542936,-0.008633137,0.015236855,0.526412725,-0.625591934,-0.061033357,0.067842238,0.819878464,NO_ACTIVITY
0.085697114,0.012335777,0.003152847,0.343312621,-0.503525198,0.0,0.086637794,0.609426928,NO_ACTIVITY
0.071564317,0.004809141,-0.01117897,0.282279283,-0.137325048,0.061033357,0.072591657,0.319788732,NO_ACTIVITY
0.025584698,0.024769306,-0.005178452,-0.022887509,0.045775019,0.0,0.035984881,0.051178027,NO_ACTIVITY
0.049068898,0.020966291,-0.025331497,-0.022887509,0.289908439,0.183100075,0.059067985,0.343651536,NO_ACTIVITY
0.019156426,-0.002941608,-0.000181198,-0.267020941,0.717141926,0.122066714,0.01938181,0.774914839,NO_ACTIVITY
0.010162383,0.024587154,-0.003731728,-0.328054279,1.327475548,0.122066714,0.026864996,1.372847851,NO_ACTIVITY
0.030098259,0.02585721,-0.023874283,-0.694254398,1.205408812,0.183100075,0.046308551,1.403041414,NO_ACTIVITY
0.024073511,0.013292313,-0.013075829,0.526412725,-1.296958804,-0.061033357,0.030449907,1.401048739,NO_ACTIVITY
0.028562486,5.96e-05,-0.016472816,-0.572187722,1.632642269,0.122066714,0.032972304,1.734306735,NO_ACTIVITY
-0.039050877,-0.015605211,0.031258583,-0.816321135,1.571608901,0.122066714,0.052398403,1.775171827,NO_ACTIVITY
-0.030198753,-0.011232615,0.001396179,-0.938387871,1.754709005,0.122066714,0.032250358,1.993608731,NO_ACTIVITY
-0.021309227,-0.005575895,0.052576065,-0.694254398,1.632642269,0.305166781,0.057003652,1.800176856,NO_ACTIVITY
-0.043459326,-0.01550889,0.040358543,-0.816321135,1.510575533,0.122066714,0.061302942,1.721371232,NO_ACTIVITY
-0.032227159,-0.023015976,0.018735886,-0.816321135,1.449542284,0.244133428,0.043810482,1.681414333,NO_ACTIVITY
